valid mae: 2.1793318710630283, valid rmse:4.64461049360041
valid mae: 2.193334945189065, valid rmse:4.645921335502176
valid mae: 2.1989040589409243, valid rmse:4.6603516023940115
valid mae: 2.2009463919065135, valid rmse:4.670286722037801
valid mae: 2.196556392809554, valid rmse:4.664370209958673
valid mae: 2.1963886480902235, valid rmse:4.6417803088825
valid mae: 2.226746833908181, valid rmse:4.720420429111628
valid mae: 2.217428751134125, valid rmse:4.717069008411745
valid mae: 2.2195587013144396, valid rmse:4.699298846551392
valid mae: 2.2272779378732555, valid rmse:4.788868007888621
valid mae: 2.2338329267199977, valid rmse:4.802413296727661
valid mae: 2.229061568309608, valid rmse:4.8423929673172195
valid mae: 2.2325947177371797, valid rmse:4.866537256528214
valid mae: 2.251212660235224, valid rmse:4.9248920489970915
valid mae: 2.2639955742262696, valid rmse:5.029574248628895
valid mae: 2.2639773902618043, valid rmse:5.0563798334148515
valid mae: 2.237800658455903, valid rmse:5.08604598306499
valid mae: 2.257915119936995, valid rmse:5.112723922676348
valid mae: 2.233514583435025, valid rmse:5.066040459893924
valid mae: 2.269032830067003, valid rmse:5.126188743774435
valid mae: 2.285268527362795, valid rmse:5.223988807368477
valid mae: 2.2876936368173086, valid rmse:5.244056087784451
valid mae: 2.288912681641111, valid rmse:5.263870008225127
valid mae: 2.2734271557352805, valid rmse:5.27722071107288
valid mae: 2.288015822182227, valid rmse:5.30803547524581
valid mae: 2.269889287956035, valid rmse:5.299206296895071
valid mae: 2.2652164488184363, valid rmse:5.2866970017338435
valid mae: 2.263925364502533, valid rmse:5.291092290652191
valid mae: 2.2553026750044936, valid rmse:5.3166343998481995
valid mae: 2.27287448052265, valid rmse:5.26479420083322
valid mae: 2.2806210743716546, valid rmse:5.250043120712243
valid mae: 2.29979073673902, valid rmse:5.28619150216477
valid mae: 2.2936770901451284, valid rmse:5.232134122547598
valid mae: 2.3016163083502077, valid rmse:5.2514313195227444
valid mae: 2.2938117368180717, valid rmse:5.212062906358395
valid mae: 2.2871553142897443, valid rmse:5.230526180553583
valid mae: 2.2625499101713027, valid rmse:5.218540107397267
valid mae: 2.286500075518574, valid rmse:5.2966791895964835
valid mae: 2.31295615096855, valid rmse:5.272716623459634
valid mae: 2.3042605858124463, valid rmse:5.315064305541083
valid mae: 2.2904870735395537, valid rmse:5.29957575596268
valid mae: 2.279545554338225, valid rmse:5.264289070253898
valid mae: 2.256508918556945, valid rmse:5.223174044310354
valid mae: 2.249178420121423, valid rmse:5.174881261688403
valid mae: 2.282767502201715, valid rmse:5.2831007866484905
valid mae: 2.2856356902616968, valid rmse:5.340450167664485
valid mae: 2.2842725875516923, valid rmse:5.40696690522161
valid mae: 2.310325850184612, valid rmse:5.427001453601814
valid mae: 2.313122580313031, valid rmse:5.453164508715627
valid mae: 2.3375478797140037, valid rmse:5.487819453168774
valid mae: 2.320213761308409, valid rmse:5.406624133613576
valid mae: 2.3163604914726807, valid rmse:5.439923754135164
valid mae: 2.302363724023551, valid rmse:5.4120934166462416
valid mae: 2.2981271856371612, valid rmse:5.3534215428493
valid mae: 2.311277938809042, valid rmse:5.455949517131383
valid mae: 2.3253250263735157, valid rmse:5.52653072013371
valid mae: 2.3146200321718555, valid rmse:5.52819321263513
valid mae: 2.3192694498044375, valid rmse:5.568562431780318
valid mae: 2.322991445660591, valid rmse:5.502814610341807
valid mae: 2.32086586065806, valid rmse:5.529058517903653
valid mae: 2.344831703647987, valid rmse:5.5987761658730415
valid mae: 2.340632850665595, valid rmse:5.619209454198716
valid mae: 2.3668744934389383, valid rmse:5.634943431834638
valid mae: 2.3506775704419116, valid rmse:5.639816319858384
valid mae: 2.356307249089018, valid rmse:5.723001044839005
valid mae: 2.368644981889607, valid rmse:5.77450647680074
valid mae: 2.3895283161571683, valid rmse:5.79211435186704
valid mae: 2.369199656548991, valid rmse:5.75489117470345
valid mae: 2.3642330823859474, valid rmse:5.795713433639531
valid mae: 2.3787677157011444, valid rmse:5.862871293095091
valid mae: 2.39431353425657, valid rmse:5.855187938838141
valid mae: 2.4046583314209635, valid rmse:5.829154294841177
valid mae: 2.401091740359847, valid rmse:5.777756944798281
valid mae: 2.4096554768134992, valid rmse:5.7534770175907
valid mae: 2.3866293171274955, valid rmse:5.751190979873376
valid mae: 2.3775958289119785, valid rmse:5.696282349077619
valid mae: 2.377874337775595, valid rmse:5.723960438965714
valid mae: 2.3757286853968522, valid rmse:5.700074903976357
valid mae: 2.3886902955862808, valid rmse:5.7338239292819315
valid mae: 2.4109832966682228, valid rmse:5.80090274222558
valid mae: 2.4032834310639584, valid rmse:5.838926763044611
valid mae: 2.380144783526276, valid rmse:5.856105013201084
valid mae: 2.398708163526025, valid rmse:5.869855519811648
valid mae: 2.405082395933129, valid rmse:5.899251809996411
valid mae: 2.39768581543545, valid rmse:5.928691009501774
valid mae: 2.3870882133435205, valid rmse:5.886878595976369
valid mae: 2.3869127771414873, valid rmse:5.862367634478652
valid mae: 2.3936595130883487, valid rmse:5.882286584522066
valid mae: 2.3876246759410455, valid rmse:5.880534552358144
valid mae: 2.416993459241439, valid rmse:5.855977118339762
valid mae: 2.4152162783846083, valid rmse:5.925571562467038
valid mae: 2.4086708170137223, valid rmse:5.9570324725369606
valid mae: 2.4091576700521053, valid rmse:5.961569720836688
valid mae: 2.3932009727752988, valid rmse:5.906468882306205
valid mae: 2.386827584990926, valid rmse:5.88070200162514
valid mae: 2.384538477719916, valid rmse:5.9029791104501825
valid mae: 2.392021505942714, valid rmse:5.987691722266541
valid mae: 2.3836452019623495, valid rmse:5.924528730136607
valid mae: 2.3832201982298336, valid rmse:5.956271279670192
valid mae: 2.3836660006733377, valid rmse:6.042763241466806
valid mae: 2.3640539447825883, valid rmse:6.061284606858947
valid mae: 2.377553940569984, valid rmse:6.090764946644152
valid mae: 2.3834858137239787, valid rmse:6.178936147671311
valid mae: 2.3874123585944456, valid rmse:6.2271529831079535
valid mae: 2.3854036585997793, valid rmse:6.214735751346619
valid mae: 2.3817696500437817, valid rmse:6.139763635334021
valid mae: 2.404756677264122, valid rmse:6.1715841283598225
valid mae: 2.4011181518555262, valid rmse:6.125439438870328
valid mae: 2.4011758388981366, valid rmse:6.184166256414772
valid mae: 2.4125829193729103, valid rmse:6.204490286869041
valid mae: 2.4315311113154836, valid rmse:6.31294747486728
valid mae: 2.4220887575885492, valid rmse:6.315727568849783
valid mae: 2.4250231291479873, valid rmse:6.39753059602571
valid mae: 2.4224368362884174, valid rmse:6.436247444323382
valid mae: 2.4338499615717546, valid rmse:6.432913371148882
valid mae: 2.430520853021712, valid rmse:6.402995819610032
valid mae: 2.403318030925394, valid rmse:6.365214542500231
valid mae: 2.401282154289169, valid rmse:6.367894630340536
valid mae: 2.396798907127331, valid rmse:6.390105927961173
valid mae: 2.4020257178825775, valid rmse:6.404433099065069
valid mae: 2.3910453017773095, valid rmse:6.444721984877589
valid mae: 2.4131972224223013, valid rmse:6.499143243062241
valid mae: 2.400480821616908, valid rmse:6.482931849333777
valid mae: 2.4033575096553927, valid rmse:6.482408513302064
valid mae: 2.3944779192631525, valid rmse:6.4308616796386335
valid mae: 2.4088422204233058, valid rmse:6.495899698612311
valid mae: 2.4081309503693, valid rmse:6.452796421641767
valid mae: 2.426530856146035, valid rmse:6.491515708999576
valid mae: 2.4542639749074735, valid rmse:6.513031449135264
valid mae: 2.4312262940724625, valid rmse:6.541458499959151
valid mae: 2.4350832453374887, valid rmse:6.4816912529177815
valid mae: 2.414599596847164, valid rmse:6.5456030857613
valid mae: 2.4050798404478693, valid rmse:6.477430582158727
valid mae: 2.4102005705612712, valid rmse:6.564187523212904
valid mae: 2.4147202475166143, valid rmse:6.585290218099517
valid mae: 2.4268763595263674, valid rmse:6.50641043484022
valid mae: 2.421306298676347, valid rmse:6.460080119661032
valid mae: 2.4237963086850582, valid rmse:6.425294250756605
valid mae: 2.409283226339939, valid rmse:6.311417430835981
valid mae: 2.4208630404563865, valid rmse:6.322252836905376
valid mae: 2.4297270314789916, valid rmse:6.325772659720806
valid mae: 2.4250899987836294, valid rmse:6.319738407371999
valid mae: 2.4292917915351393, valid rmse:6.317971919710785
valid mae: 2.4202680123125435, valid rmse:6.378588642011513
valid mae: 2.4323568962522386, valid rmse:6.40746593343387
valid mae: 2.438484517316407, valid rmse:6.356802333702161
valid mae: 2.4328626286725554, valid rmse:6.39956673963375
valid mae: 2.4168700148478264, valid rmse:6.358936600207966
valid mae: 2.425935214738754, valid rmse:6.317645051910131
valid mae: 2.456677951785114, valid rmse:6.35597581242069
valid mae: 2.463859530435306, valid rmse:6.39302087190304
valid mae: 2.4742136756147857, valid rmse:6.376597350947679
valid mae: 2.445029191421255, valid rmse:6.28387729773709
valid mae: 2.4493019799926463, valid rmse:6.2575497247622005
valid mae: 2.456445753498508, valid rmse:6.283204554387786
valid mae: 2.468108063150449, valid rmse:6.378518751773497
valid mae: 2.4596373151911926, valid rmse:6.407501860163297
valid mae: 2.477803310433289, valid rmse:6.416477233093487
valid mae: 2.478722639166274, valid rmse:6.448546357236076
valid mae: 2.475548406601719, valid rmse:6.4997797942407995
valid mae: 2.486936310076605, valid rmse:6.574654169045272
valid mae: 2.4837596711941217, valid rmse:6.567958332095584
valid mae: 2.4662822511242775, valid rmse:6.59587406343817
valid mae: 2.4465476414598006, valid rmse:6.617986189487785
valid mae: 2.4669556286972565, valid rmse:6.698778049547256
valid mae: 2.4662902123970554, valid rmse:6.652646017489951
valid mae: 2.4759719497928474, valid rmse:6.663380070492209
valid mae: 2.505178083117656, valid rmse:6.757380203620111
valid mae: 2.482554693401882, valid rmse:6.801736177596023
valid mae: 2.469108504234211, valid rmse:6.775800739249244
valid mae: 2.483162771994278, valid rmse:6.7927446027674
valid mae: 2.4855184459106523, valid rmse:6.865263649001849
valid mae: 2.5104634677322477, valid rmse:6.933207886771218
valid mae: 2.52999481442609, valid rmse:6.971192448947763
valid mae: 2.5204120425054244, valid rmse:6.85756806083975
valid mae: 2.5062293843481, valid rmse:6.83494985645319
valid mae: 2.49988291407002, valid rmse:6.816830250034609
valid mae: 2.502640082649607, valid rmse:6.866554635318068
valid mae: 2.5065470630181244, valid rmse:6.9077731737957375
valid mae: 2.537788059718164, valid rmse:6.964532277759496
valid mae: 2.511393347234013, valid rmse:6.948796488676184
valid mae: 2.5024922960552627, valid rmse:6.799724705203099
valid mae: 2.5048399168602713, valid rmse:6.830442750307992
valid mae: 2.5256024047748324, valid rmse:6.895566493505985
valid mae: 2.5233859047014167, valid rmse:6.912663090211023
valid mae: 2.5225818134776423, valid rmse:6.907811862854504
valid mae: 2.526104896995144, valid rmse:6.965810347049395
valid mae: 2.510855612292135, valid rmse:6.9539662874508394
valid mae: 2.514229218576339, valid rmse:6.987304311805026
valid mae: 2.526076545625414, valid rmse:6.95374914505181
valid mae: 2.525463222407228, valid rmse:6.948189136000235
valid mae: 2.5196756244440426, valid rmse:6.900817173290464
valid mae: 2.5094205062409176, valid rmse:6.905345538972217
valid mae: 2.555232098248227, valid rmse:6.965426917966353
valid mae: 2.540692123825016, valid rmse:7.023616462001978
valid mae: 2.5318498982142534, valid rmse:7.088818957201682
valid mae: 2.5365555389901067, valid rmse:7.132746112099055
valid mae: 2.5313224272257453, valid rmse:7.138879712477895
valid mae: 2.51403120404862, valid rmse:7.025177972156742
valid mae: 2.535445930937351, valid rmse:7.13338900257129
valid mae: 2.5490297288149755, valid rmse:7.162260456110284
valid mae: 2.5476555903896387, valid rmse:7.1959786110396315
valid mae: 2.541815196709969, valid rmse:7.191600551959396
valid mae: 2.5357074235672767, valid rmse:7.227456271055431
valid mae: 2.526017426446256, valid rmse:7.269631832308605
valid mae: 2.5384055465970903, valid rmse:7.32805423541971
valid mae: 2.5353084174958074, valid rmse:7.2880189863743325
valid mae: 2.541375506631351, valid rmse:7.335121360592017
valid mae: 2.575527367432625, valid rmse:7.369596661798
valid mae: 2.5711862059571606, valid rmse:7.40797653604004
valid mae: 2.552010269705825, valid rmse:7.354401491109662
valid mae: 2.543786395989989, valid rmse:7.38362847637897
valid mae: 2.523490757205287, valid rmse:7.252691938752508
valid mae: 2.556837495699892, valid rmse:7.3462249114673615
valid mae: 2.5584817741541364, valid rmse:7.405896721953485
valid mae: 2.5426513246097877, valid rmse:7.357417857933859
valid mae: 2.558911159347108, valid rmse:7.469290757579467
valid mae: 2.5471019327305138, valid rmse:7.501127407117444
valid mae: 2.551274205626878, valid rmse:7.535899664946582
valid mae: 2.547836774039818, valid rmse:7.4562133244225315
valid mae: 2.5710985846637815, valid rmse:7.5014709290821235
valid mae: 2.561167971337851, valid rmse:7.353029459714285
valid mae: 2.575568430786523, valid rmse:7.451678266412485
valid mae: 2.564698203895061, valid rmse:7.363871932829563
